epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9503,1.19071,4.62502,1.30721,0.243,0.13955,0.13858,0.09828,0.91557,3.1704,1.15973,0.083544,0.000544,0.000544
2,21.5431,1.00806,3.00518,1.223,0.38252,0.42863,0.39883,0.29178,0.82548,2.08902,1.08653,0.0660954,0.00109536,0.00109536
3,31.1858,0.70417,2.03871,1.04857,0.55455,0.54501,0.62619,0.53898,0.54275,1.52242,0.93753,0.0486214,0.00162138,0.00162138
4,41.0654,0.51533,1.37842,0.95411,0.62668,0.80315,0.80736,0.74761,0.37927,1.00502,0.85629,0.031122,0.00212205,0.00212205
5,52.4416,0.45887,0.97966,0.92838,0.80117,0.79558,0.84497,0.77254,0.40762,0.78031,0.8759,0.0135974,0.00259738,0.00259738
6,65.2354,0.40475,0.74074,0.88256,0.91146,0.85929,0.92786,0.84792,0.39791,0.56102,0.85178,0.002848,0.002848,0.002848
7,77.9869,0.45549,0.72102,0.91301,0.86222,0.90977,0.95378,0.89226,0.32449,0.45325,0.82494,0.0027776,0.0027776,0.0027776
8,88.6261,0.36372,0.54183,0.85646,0.97924,0.91026,0.96199,0.89615,0.33933,0.39117,0.8303,0.0027072,0.0027072,0.0027072
9,98.1004,0.36359,0.53004,0.87448,0.95007,0.95598,0.97385,0.92511,0.29932,0.35465,0.80749,0.0026368,0.0026368,0.0026368
10,107.589,0.33601,0.49017,0.85267,0.96361,0.94805,0.98322,0.92325,0.31637,0.41719,0.82021,0.0025664,0.0025664,0.0025664
11,117.023,0.30572,0.42842,0.83739,0.96649,0.95782,0.98724,0.93579,0.2914,0.3354,0.80962,0.002496,0.002496,0.002496
12,126.548,0.30965,0.41214,0.8439,0.98572,0.94167,0.98303,0.93702,0.29872,0.32211,0.80404,0.0024256,0.0024256,0.0024256
13,136.019,0.28716,0.37063,0.83056,0.98701,0.97475,0.97892,0.9437,0.27265,0.27481,0.82444,0.0023552,0.0023552,0.0023552
14,145.486,0.30082,0.395,0.83454,0.99515,0.96296,0.97735,0.9407,0.27945,0.26945,0.82607,0.0022848,0.0022848,0.0022848
15,154.889,0.29566,0.37269,0.84067,0.99671,0.97589,0.98513,0.94759,0.25199,0.23974,0.80993,0.0022144,0.0022144,0.0022144
16,164.344,0.2987,0.37094,0.85679,0.99484,0.96473,0.9848,0.94336,0.25502,0.25578,0.79849,0.002144,0.002144,0.002144
17,173.683,0.29008,0.35797,0.83412,0.98444,0.98128,0.98549,0.9419,0.26311,0.24996,0.79761,0.0020736,0.0020736,0.0020736
18,183.05,0.28753,0.36781,0.8383,0.9701,0.98807,0.98858,0.94971,0.23517,0.23714,0.78808,0.0020032,0.0020032,0.0020032
19,192.477,0.26188,0.31949,0.82456,0.97702,0.98148,0.9862,0.95195,0.25456,0.28224,0.79341,0.0019328,0.0019328,0.0019328
20,201.887,0.27144,0.32425,0.82988,0.97261,0.98734,0.9874,0.94788,0.23441,0.25451,0.79458,0.0018624,0.0018624,0.0018624
21,211.274,0.28635,0.33058,0.83999,0.95183,0.97244,0.98348,0.94942,0.22601,0.25635,0.79581,0.001792,0.001792,0.001792
22,220.631,0.24997,0.30842,0.82312,0.98848,0.97654,0.98698,0.95065,0.22251,0.22768,0.79474,0.0017216,0.0017216,0.0017216
23,229.952,0.24982,0.2884,0.82533,0.98627,0.97293,0.98586,0.95241,0.2218,0.24673,0.79588,0.0016512,0.0016512,0.0016512
24,239.363,0.25423,0.32127,0.80753,0.99517,0.97781,0.98922,0.95247,0.23456,0.23982,0.79717,0.0015808,0.0015808,0.0015808
25,248.804,0.2387,0.30103,0.81006,0.98857,0.97991,0.98944,0.95324,0.22637,0.24527,0.79652,0.0015104,0.0015104,0.0015104
26,258.319,0.25492,0.31991,0.83397,0.99598,0.98013,0.98964,0.95933,0.21031,0.22956,0.78756,0.00144,0.00144,0.00144
27,267.843,0.24543,0.2907,0.81539,0.98566,0.99074,0.99033,0.95946,0.19733,0.21732,0.78486,0.0013696,0.0013696,0.0013696
28,278.817,0.22815,0.27433,0.81916,0.98563,0.98905,0.9899,0.96477,0.20406,0.21983,0.78593,0.0012992,0.0012992,0.0012992
29,290.2,0.23931,0.28248,0.8259,0.99529,0.99074,0.9922,0.9652,0.20935,0.21248,0.78257,0.0012288,0.0012288,0.0012288
30,301.547,0.24644,0.2995,0.82081,0.99592,0.99074,0.99149,0.96511,0.20148,0.20677,0.78716,0.0011584,0.0011584,0.0011584
31,346.25,0.19413,0.22909,0.77987,0.998,0.98291,0.99254,0.96718,0.20821,0.20352,0.79197,0.001088,0.001088,0.001088
32,357.298,0.18618,0.21402,0.77597,0.99264,0.98226,0.99162,0.96843,0.20047,0.2002,0.79309,0.0010176,0.0010176,0.0010176
33,368.531,0.20426,0.22056,0.79352,0.9777,0.9891,0.99032,0.96754,0.21101,0.21906,0.79611,0.0009472,0.0009472,0.0009472
34,379.774,0.17932,0.2077,0.77281,0.97762,0.9796,0.99051,0.96658,0.20466,0.21311,0.79282,0.0008768,0.0008768,0.0008768
35,390.954,0.18919,0.20166,0.76894,0.98122,0.98922,0.98881,0.97064,0.19838,0.20451,0.78626,0.0008064,0.0008064,0.0008064
36,402.203,0.18564,0.20018,0.77526,0.98279,0.99074,0.98976,0.96215,0.19794,0.20778,0.78709,0.000736,0.000736,0.000736
37,413.335,0.1731,0.18524,0.7748,0.98373,0.99074,0.99033,0.96517,0.19564,0.19591,0.78433,0.0006656,0.0006656,0.0006656
38,424.683,0.17843,0.18943,0.76776,0.98804,0.98548,0.99208,0.96874,0.19031,0.19118,0.78256,0.0005952,0.0005952,0.0005952
39,436.064,0.17359,0.19257,0.78659,0.99472,0.98965,0.99278,0.97068,0.18098,0.18176,0.78517,0.0005248,0.0005248,0.0005248
40,447.637,0.16104,0.18092,0.77099,0.98326,0.99074,0.99322,0.97512,0.17821,0.17896,0.7872,0.0004544,0.0004544,0.0004544
